number,year,month,location,strain,sex,length,ds
5,2018,august,HH,aquaculture,f,60,mature
6,2018,august,HH,aquaculture,f,64,spawned
7,2018,august,HH,aquaculture,m,44,mature
8,2018,august,HH,aquaculture,f,41,mature
9,2018,august,HH,aquaculture,m,39,late active
10,2018,august,HH,aquaculture,m,55,late active
11,2018,august,HH,aquaculture,f,45,reabsorbing
12,2018,august,HH,aquaculture,m,57,late active
13,2018,august,HH,aquaculture,m,49,reabsorbing
14,2018,august,HH,aquaculture,m,41,late active
15,2018,august,HH,aquaculture,m,34,reabsorbing
16,2018,august,HH,aquaculture,m,50,late active
17,2018,august,HH,aquaculture,m,61,spawned
18,2018,august,HH,aquaculture,m,37,mature
19,2018,august,HH,aquaculture,m,60,reabsorbing
20,2018,august,HH,aquaculture,f,40,spawned
1,2018,august,SB,wild,m,52,mature
2,2018,august,SB,wild,m,52,mature
3,2018,august,SB,wild,m,63,mature
4,2018,august,SB,wild,f,55,mature
5,2018,august,SB,wild,m,46,late active
6,2018,august,SB,wild,m,55,reabsorbing
7,2018,august,SB,wild,m,60,late active
8,2018,august,SB,wild,m,40,mature
9,2018,august,SB,wild,f,40,mature
10,2018,august,SB,wild,m,53,mature
11,2018,august,SB,wild,f,51,mature
12,2018,august,SB,wild,f,49,late active
13,2018,august,SB,wild,m,34,mature
14,2018,august,SB,wild,f,49,mature
15,2018,august,SB,wild,f,32,mature
16,2018,august,SB,wild,m,45,mature
17,2018,august,SB,wild,m,60,mature
18,2018,august,SB,wild,m,60,late active
19,2018,august,SB,wild,m,56,spawned
20,2018,august,SB,wild,f,54,mature
1,2018,august,SB,hatchery,m,52,reabsorbing
2,2018,august,SB,hatchery,m,56,late active
3,2018,august,SB,hatchery,f,49,reabsorbing
4,2018,august,SB,hatchery,f,43,reabsorbing
5,2018,august,SB,hatchery,m,63,late active
6,2018,august,SB,hatchery,f,54,mature
7,2018,august,SB,hatchery,m,50,mature
8,2018,august,SB,hatchery,m,50,spawned
9,2018,august,SB,hatchery,m,46,mature
10,2018,august,SB,hatchery,m,40,mature
11,2018,august,SB,hatchery,f,69,reabsorbing
12,2018,august,SB,hatchery,m,45,spawned
13,2018,august,SB,hatchery,m,50,reabsorbing
14,2018,august,SB,hatchery,m,69,late active
15,2018,august,SB,hatchery,m,58,late active
16,2018,august,SB,hatchery,f,50,mature
17,2018,august,SB,hatchery,m,46,late active
18,2018,august,SB,hatchery,m,47,mature
19,2018,august,SB,hatchery,f,57,mature
20,2018,august,SB,hatchery,m,51,mature
1,2018,august,SB,aquaculture,m,92,mature
2,2018,august,SB,aquaculture,m,79,mature
3,2018,august,SB,aquaculture,f,91,spawned
4,2018,august,SB,aquaculture,m,51,mature
5,2018,august,SB,aquaculture,m,41,reabsorbing
6,2018,august,SB,aquaculture,m,49,spawned
7,2018,august,SB,aquaculture,f,83,reabsorbing
8,2018,august,SB,aquaculture,m,68,spawned
9,2018,august,SB,aquaculture,m,55,spawned
10,2018,august,SB,aquaculture,m,66,reabsorbing
11,2018,august,SB,aquaculture,m,45,reabsorbing
12,2018,august,SB,aquaculture,f,64,late active
13,2018,august,SB,aquaculture,m,84,spawned
14,2018,august,SB,aquaculture,m,79,spawned
15,2018,august,SB,aquaculture,f,70,spawned
16,2018,august,SB,aquaculture,f,62,late active
17,2018,august,SB,aquaculture,m,63,mature
18,2018,august,SB,aquaculture,m,49,reabsorbing
19,2018,august,SB,aquaculture,m,50,late active
20,2018,august,SB,aquaculture,m,51,mature
1,2018,august,PGB,wild,m,49,reabsorbing
2,2018,august,PGB,wild,m,72,mature
3,2018,august,PGB,wild,m,46,mature
4,2018,august,PGB,wild,m,63,mature
5,2018,august,PGB,wild,f,57,mature
6,2018,august,PGB,wild,m,46,mature
7,2018,august,PGB,wild,m,54,reabsorbing
8,2018,august,PGB,wild,m,49,reabsorbing
10,2018,august,PGB,wild,f,45,reabsorbing
11,2018,august,PGB,wild,f,42,reabsorbing
12,2018,august,PGB,wild,f,39,reabsorbing
13,2018,august,PGB,wild,m,55,reabsorbing
14,2018,august,PGB,wild,f,46,reabsorbing
15,2018,august,PGB,wild,m,29,reabsorbing
17,2018,august,PGB,wild,m,62,mature
18,2018,august,PGB,wild,m,58,mature
19,2018,august,PGB,wild,m,49,mature
20,2018,august,PGB,wild,m,44,spawned
1,2018,august,PGB,hatchery,m,,reabsorbing
2,2018,august,PGB,hatchery,m,63,reabsorbing
3,2018,august,PGB,hatchery,m,35,spawned
4,2018,august,PGB,hatchery,m,65,reabsorbing
5,2018,august,PGB,hatchery,m,74,spawned
6,2018,august,PGB,hatchery,m,54,reabsorbing
7,2018,august,PGB,hatchery,m,55,reabsorbing
8,2018,august,PGB,hatchery,m,74,spawned
9,2018,august,PGB,hatchery,m,52,reabsorbing
10,2018,august,PGB,hatchery,m,82,mature
11,2018,august,PGB,hatchery,m,57,reabsorbing
12,2018,august,PGB,hatchery,f,53,spawned
13,2018,august,PGB,hatchery,m,51,reabsorbing
14,2018,august,PGB,hatchery,m,37,reabsorbing
15,2018,august,PGB,hatchery,m,63,reabsorbing
16,2018,august,PGB,hatchery,f,49,reabsorbing
17,2018,august,PGB,hatchery,f,57,spawned
18,2018,august,PGB,hatchery,m,60,late active
19,2018,august,PGB,hatchery,m,52,late active
20,2018,august,PGB,hatchery,f,34,spawned
1,2018,august,PGB,aquaculture,m,79,spawned
2,2018,august,PGB,aquaculture,m,84,reabsorbing
3,2018,august,PGB,aquaculture,m,68,reabsorbing
4,2018,august,PGB,aquaculture,m,68,reabsorbing
5,2018,august,PGB,aquaculture,m,71,reabsorbing
6,2018,august,PGB,aquaculture,m,64,reabsorbing
7,2018,august,PGB,aquaculture,m,57,reabsorbing
8,2018,august,PGB,aquaculture,m,70,reabsorbing
9,2018,august,PGB,aquaculture,m,49,spawned
10,2018,august,PGB,aquaculture,m,85,spawned
11,2018,august,PGB,aquaculture,m,69,reabsorbing
12,2018,august,PGB,aquaculture,m,45,reabsorbing
13,2018,august,PGB,aquaculture,m,79,early active
14,2018,august,PGB,aquaculture,m,45,reabsorbing
15,2018,august,PGB,aquaculture,m,62,spawned
16,2018,august,PGB,aquaculture,m,71,spawned
17,2018,august,PGB,aquaculture,m,77,spawned
19,2018,august,PGB,aquaculture,m,70,reabsorbing
20,2018,august,PGB,aquaculture,m,58,reabsorbing
